#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Escherichia coli	562	PRJNA50877	50877	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Escherichia coli MS 146-1	749540	PRJNA50897	50897	Proteobacteria	Gammaproteobacteria	4.7401	50.7	-	-	-	-	ADTN01	135	5071	4955	2010/05/21	2011/10/06	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine
Escherichia coli	562	PRJNA51447	51447	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Escherichia coli NC101	753642	PRJNA52343	52343	Proteobacteria	Gammaproteobacteria	5.02114	50.6	-	-	-	-	AEFA01	27	4805	4728	2010/09/02	2010/09/13	Scaffolds or contigs	Cornell University
Escherichia coli TA143	656437	PRJNA52477	52477	Proteobacteria	Gammaproteobacteria	4.82972	50.6	-	-	-	-	ADAY01	43	4856	4757	2010/03/15	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli TA206	656440	PRJNA52479	52479	Proteobacteria	Gammaproteobacteria	5.05529	50.5	-	-	-	-	ADAX01	38	5177	5086	2010/03/15	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli M718	656419	PRJNA52481	52481	Proteobacteria	Gammaproteobacteria	5.36595	50.6	-	-	-	-	ADAW01	67	5514	5388	2010/03/15	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli M605	656417	PRJNA52483	52483	Proteobacteria	Gammaproteobacteria	5.44669	50.4	-	-	-	-	ADAV01	83	5750	5608	2010/03/15	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli H736	656414	PRJNA52485	52485	Proteobacteria	Gammaproteobacteria	4.65261	50.8	-	-	-	-	ADAU01	38	4781	4671	2010/03/15	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli TA271	656443	PRJNA52521	52521	Proteobacteria	Gammaproteobacteria	5.02069	50.7	-	-	-	-	ADAZ01	83	5197	5081	2010/03/16	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli TA280	656444	PRJNA52523	52523	Proteobacteria	Gammaproteobacteria	5.25816	50.6	-	-	-	-	ADBA01	76	5477	4372	2010/03/16	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli H591	656408	PRJNA52525	52525	Proteobacteria	Gammaproteobacteria	4.91869	50.7	-	-	-	-	ADBB01	82	5143	5013	2010/03/16	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli H299	656393	PRJNA52527	52527	Proteobacteria	Gammaproteobacteria	5.24891	50.8	-	-	-	-	ADBC01	113	5714	5186	2010/03/16	2011/05/01	Scaffolds or contigs	Broad Institute
Escherichia coli KO11FL	595495	PRJNA52593	52593	Proteobacteria	Gammaproteobacteria	5.02932	50.7784	NC_016902.1	CP002516.1	NC_016903.1,NC_016904.1	CP002518.1,CP002517.1	-	3	4885	4653	2011/02/14	2012/06/18	Complete	US DOE Joint Genome Institute (JGI-PGF)
Escherichia coli W	566546	PRJNA52603	52603	Proteobacteria	Gammaproteobacteria	4.94108	50.8	-	-	-	-	AEDF01	88	4772	4699	2010/09/13	2011/10/13	Scaffolds or contigs	US DOE Joint Genome Institute (JGI-PGF)
Escherichia coli B7A	340184	PRJNA54297	54297	Proteobacteria	Gammaproteobacteria	5.30024	50.7	-	-	-	-	AAJT02	289	5529	4648	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli F11	340197	PRJNA54299	54299	Proteobacteria	Gammaproteobacteria	5.21596	50.5	-	-	-	-	AAJU02	119	5307	4704	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli E22	340185	PRJNA54301	54301	Proteobacteria	Gammaproteobacteria	5.52824	50.6	-	-	-	-	AAJV02	127	5831	5105	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli E110019	340186	PRJNA54303	54303	Proteobacteria	Gammaproteobacteria	5.37621	50.7	-	-	-	-	AAJW02	137	5681	4934	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli B171	344601	PRJNA54319	54319	Proteobacteria	Gammaproteobacteria	5.49539	50.4436	-	-	NC_002142.1	AB024946.1	AAJX02	263	5932	5010	1999/10/05	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli 53638	344610	PRJNA54321	54321	Proteobacteria	Gammaproteobacteria	5.37179	50.988	-	-	NC_010719.1,NC_010720.1	CP001064.1,CP001065.1	AAKB02	4	5654	5172	2005/09/08	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli 101-1	358709	PRJNA54363	54363	Proteobacteria	Gammaproteobacteria	4.97977	50.6	-	-	-	-	AAMK02	91	5155	4607	2005/12/12	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli O157:H7 str. EC4045	444448	PRJNA54957	54957	Proteobacteria	Gammaproteobacteria	5.63485	50.5	-	-	-	-	ABHL02	8	5930	5343	2007/11/08	2010/11/25	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4206	444447	PRJNA54959	54959	Proteobacteria	Gammaproteobacteria	5.62993	50.5	-	-	-	-	ABHK02	7	6062	5202	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4042	444449	PRJNA54961	54961	Proteobacteria	Gammaproteobacteria	5.61773	50.5	-	-	-	-	ABHM02	4	5976	5232	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4196	444451	PRJNA54963	54963	Proteobacteria	Gammaproteobacteria	5.62061	50.6	-	-	-	-	ABHO01	186	5891	5072	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4113	444452	PRJNA54965	54965	Proteobacteria	Gammaproteobacteria	5.65585	50.6	-	-	-	-	ABHP01	231	5826	5005	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4076	444453	PRJNA54967	54967	Proteobacteria	Gammaproteobacteria	5.70564	50.6	-	-	-	-	ABHQ01	135	6071	5242	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4024	444454	PRJNA54969	54969	Proteobacteria	Gammaproteobacteria	6.19931	50.7	-	-	-	-	ABJT01	84	6540	6414	2008/02/06	2010/06/08	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4401	478004	PRJNA54971	54971	Proteobacteria	Gammaproteobacteria	5.73313	50.4	-	-	-	-	ABHR01	186	6001	5185	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4486	478005	PRJNA54973	54973	Proteobacteria	Gammaproteobacteria	5.93317	50.4	-	-	-	-	ABHS01	165	6189	5429	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4501	478006	PRJNA54975	54975	Proteobacteria	Gammaproteobacteria	5.67718	50.6	-	-	-	-	ABHT01	250	5947	5124	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC508	478007	PRJNA54977	54977	Proteobacteria	Gammaproteobacteria	5.65667	50.7	-	-	-	-	ABHW01	272	5853	5019	2007/11/15	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC869	478008	PRJNA54979	54979	Proteobacteria	Gammaproteobacteria	5.73107	50.5	-	-	-	-	ABHU01	147	5926	5220	2007/11/08	2011/07/05	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. TW14588	502346	PRJNA55087	55087	Proteobacteria	Gammaproteobacteria	5.6712	50.4528	NZ_CM000662.1	CM000662.1	NZ_DS999999.1	DS999999.1	ABKY02	2	6011	5803	2008/03/03	2010/06/08	Complete	J Craig Venter Institute
Escherichia coli 83972	525281	PRJNA55485	55485	Proteobacteria	Gammaproteobacteria	5.06601	50.6	-	-	-	-	ACGN01	105	5380	5255	2009/02/18	2010/06/09	Scaffolds or contigs	Baylor College of Medicine
Escherichia coli O157:H7 str. FRIK966	570506	PRJNA55561	55561	Proteobacteria	Gammaproteobacteria	5.37691	50.2	-	-	-	-	ACXN01	316	5393	5312	2009/08/20	2010/02/03	Scaffolds or contigs	MBRI
Escherichia coli O157:H7 str. FRIK2000	637388	PRJNA55943	55943	Proteobacteria	Gammaproteobacteria	5.40869	50.2	-	-	-	-	ACXO01	247	5383	5300	2009/08/20	2010/02/03	Scaffolds or contigs	Medical Biofilm Research Institute
Escherichia coli str. K-12 substr. MG1655	511145	PRJNA57779	57779	Proteobacteria	Gammaproteobacteria	4.63968	50.8	NC_000913.2	U00096.2	-	-	-	1	4496	4146	1998/10/13	2012/01/11	Complete	Univ. Wisconsin
Escherichia coli O157:H7 str. Sakai	386585	PRJNA57781	57781	Proteobacteria	Gammaproteobacteria	5.59448	50.4477	NC_002695.1	BA000007.2	NC_002128.1,NC_002127.1	AB011549.2,AB011548.2	-	3	5460	5318	1998/07/23	2007/05/19	Complete	GIRC
Escherichia coli O157:H7 str. EDL933	155864	PRJNA57831	57831	Proteobacteria	Gammaproteobacteria	5.62052	50.3541	NC_002655.2	AE005174.2	NC_007414.1	AF074613.1	-	2	5528	5397	1998/11/03	2012/02/01	Complete	Univ. Wisconsin
Escherichia coli CFT073	199310	PRJNA57915	57915	Proteobacteria	Gammaproteobacteria	5.23143	50.5	NC_004431.1	AE014075.1	-	-	-	1	5579	5369	2002/12/06	2012/01/20	Complete	Univ. Wisconsin
Escherichia coli HS	331112	PRJNA58393	58393	Proteobacteria	Gammaproteobacteria	4.64354	50.8	NC_009800.1	CP000802.1	-	-	-	1	4629	4377	2007/09/10	2012/02/13	Complete	TIGR
Escherichia coli E24377A	331111	PRJNA58395	58395	Proteobacteria	Gammaproteobacteria	5.24929	50.5414	NC_009801.1	CP000800.1	NC_009791.1,NC_009788.1,NC_009789.1,NC_009790.1,NC_009786.1,NC_009787.1	CP000801.1,CP000797.1,CP000798.1,CP000799.1,CP000795.1,CP000796.1	-	7	5258	4991	2007/09/11	2010/01/06	Complete	TIGR
Escherichia coli 536	362663	PRJNA58531	58531	Proteobacteria	Gammaproteobacteria	4.93892	50.5	NC_008253.1	CP000247.1	-	-	-	1	4779	4619	2006/07/13	2012/01/26	Complete	University of Goettingen
Escherichia coli UTI89	364106	PRJNA58541	58541	Proteobacteria	Gammaproteobacteria	5.17997	50.6088	NC_007946.1	CP000243.1	NC_007941.1	CP000244.1	-	2	5272	5162	2006/04/05	2010/04/12	Complete	Washington University (WashU)
Escherichia coli APEC O1	405955	PRJNA58623	58623	Proteobacteria	Gammaproteobacteria	5.49765	50.2915	NC_008563.1	CP000468.1	NC_009837.1,NC_009838.1	DQ381420.1,DQ517526.1	-	3	4968	4853	2006/03/01	2010/04/27	Complete	Iowa State University
Escherichia coli ATCC 8739	481805	PRJNA58783	58783	Proteobacteria	Gammaproteobacteria	4.74622	50.9	NC_010468.1	CP000946.1	-	-	-	1	4408	4199	2008/03/11	2012/06/18	Complete	US DOE Joint Genome Institute (JGI-PGF)
Escherichia coli B str. REL606	413997	PRJNA58803	58803	Proteobacteria	Gammaproteobacteria	4.62981	50.8	NC_012967.1	CP000819.1	-	-	-	1	4365	4204	2009/07/15	2011/11/21	Complete	International E. coli B Consortium
Escherichia coli SMS-3-5	439855	PRJNA58919	58919	Proteobacteria	Gammaproteobacteria	5.21538	50.4954	NC_010498.1	CP000970.1	NC_010486.1,NC_010487.1,NC_010485.1,NC_010488.1	CP000973.1,CP000974.1,CP000972.1,CP000971.1	-	5	5127	4912	2008/03/20	2008/10/02	Complete	TIGR
Escherichia coli str. K-12 substr. DH10B	316385	PRJNA58979	58979	Proteobacteria	Gammaproteobacteria	4.68614	50.8	NC_010473.1	CP000948.1	-	-	-	1	4356	4128	2008/03/14	2012/01/23	Complete	University of Wisconsin-Madison
Escherichia coli O157:H7 str. EC4115	444450	PRJNA59091	59091	Proteobacteria	Gammaproteobacteria	5.70417	50.386	NC_011353.1	CP001164.1	NC_011351.1,NC_011350.1	CP001165.1,CP001163.1	-	3	6066	5477	2008/10/08	2012/06/17	Complete	J. Craig Venter Institute
Escherichia coli O157:H7 str. TW14359	544404	PRJNA59235	59235	Proteobacteria	Gammaproteobacteria	5.62274	50.4563	NC_013008.1	CP001368.1	NC_013010.1	CP001369.1	-	2	5588	5365	2009/07/23	2010/04/15	Complete	University of Washington
Escherichia coli 'BL21-Gold(DE3)pLysS AG'	866768	PRJNA59245	59245	Proteobacteria	Gammaproteobacteria	4.57094	50.8	NC_012947.1	CP001665.1	-	-	-	1	4425	4228	2009/07/09	2011/11/21	Complete	US DOE Joint Genome Institute (JGI-PGF)
Escherichia coli O127:H6 str. E2348/69	574521	PRJNA59343	59343	Proteobacteria	Gammaproteobacteria	5.06968	50.5524	NC_011601.1	FM180568.1	NC_011603.1,NC_011602.1	FM180569.1,FM180570.1	-	3	5015	4651	2008/11/26	2009/05/13	Complete	Sanger Institute
Escherichia coli IAI1	585034	PRJNA59377	59377	Proteobacteria	Gammaproteobacteria	4.70056	50.8	NC_011741.1	CU928160.2	-	-	-	1	4633	4349	2008/12/16	2011/04/07	Complete	Genoscope
Escherichia coli ED1a	585397	PRJNA59379	59379	Proteobacteria	Gammaproteobacteria	5.20955	50.7	NC_011745.1	CU928162.2	-	-	-	1	5325	4915	2008/12/17	2011/02/28	Complete	Genoscope
Escherichia coli IAI39	585057	PRJNA59381	59381	Proteobacteria	Gammaproteobacteria	5.13207	50.6	NC_011750.1	CU928164.2	-	-	-	1	5097	4730	2008/12/16	2011/02/28	Complete	Genoscope
Escherichia coli 55989	585055	PRJNA59383	59383	Proteobacteria	Gammaproteobacteria	5.15486	50.7	NC_011748.1	CU928145.2	-	-	-	1	5140	4759	2008/12/16	2012/01/25	Complete	Institut Pasteur and Genoscope
Escherichia coli BW2952	595496	PRJNA59391	59391	Proteobacteria	Gammaproteobacteria	4.57816	50.8	NC_012759.1	CP001396.1	-	-	-	1	4267	4084	2009/06/04	2011/11/14	Complete	TEDA School of Biological Sciences and Biotechnology, Nankai University
Escherichia coli SE11	409438	PRJNA59425	59425	Proteobacteria	Gammaproteobacteria	5.15562	50.7481	NC_011415.1	AP009240.1	NC_011408.1,NC_011413.1,NC_011416.1,NC_011407.1,NC_011419.1,NC_011411.1	AP009245.1,AP009242.1,AP009243.1,AP009244.1,AP009241.1,AP009246.1	-	7	5105	4998	2008/10/23	2009/07/22	Complete	Kitasato Institute for Life Sciences
Escherichia coli MS 145-7	679204	PRJNA59467	59467	Proteobacteria	Gammaproteobacteria	5.11505	50.8	-	-	-	-	ADWS01	143	5642	5493	2010/06/30	2010/10/22	Scaffolds or contigs	WUGSC
Escherichia coli DSM 30083 = JCM 1649	866789	PRJNA59555	59555	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	UW-GEL (University of Wisconsin - Genome Evolution Laboratory)
Escherichia coli PS	911660	PRJNA59639	59639	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	J Craig Venter Institute
Escherichia coli 19B05	911661	PRJNA59647	59647	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	J Craig Venter Institute
Escherichia coli 23B03	911662	PRJNA59651	59651	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	J Craig Venter Institute
Escherichia coli 24B05	911663	PRJNA59653	59653	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	J Craig Venter Institute
Escherichia coli 13B01	911664	PRJNA59657	59657	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	J Craig Venter Institute
Escherichia coli 20B05	911665	PRJNA59661	59661	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	J Craig Venter Institute
Escherichia coli 2362-75	670897	PRJNA60613	60613	Proteobacteria	Gammaproteobacteria	5.17344	-	-	-	-	-	ADUL01	83	5343	5220	2010/11/22	2012/02/28	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli 1827-70	670888	PRJNA60615	60615	Proteobacteria	Gammaproteobacteria	4.80309	-	-	-	-	-	ADUK01	35	4822	4705	2010/10/25	2012/02/28	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli NCTC 86	662541	PRJNA61351	61351	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	The University of Birmingham
Escherichia coli VR50	941323	PRJEA61445	61445	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	The University of Queensland
Escherichia coli S88	585035	PRJNA62979	62979	Proteobacteria	Gammaproteobacteria	5.16612	50.6637	NC_011742.1	CU928161.2	NC_011747.1	CU928146.1	-	2	5191	4827	2008/12/16	2011/02/14	Complete	Genoscope
Escherichia coli UMN026	585056	PRJNA62981	62981	Proteobacteria	Gammaproteobacteria	5.3582	50.6405	NC_011751.1	CU928163.2	NC_011739.1,NC_011749.1	CU928149.1,CU928148.1	-	3	5298	5014	2008/12/16	2011/02/14	Complete	Genoscope
Escherichia coli O157:H7 str. 611	991906	PRJNA63299	63299	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O157:H7 str. 262	991907	PRJNA63301	63301	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O26:H11 str. 10140	991908	PRJNA63303	63303	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O26:H11 str. 6629	991909	PRJNA63305	63305	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O111:H8 str. 9662	991911	PRJNA63307	63307	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O111:H8 str. 1074	991912	PRJNA63309	63309	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O103:H25 str. 6582	991914	PRJNA63311	63311	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O121:H19 str. 9918	991916	PRJNA63313	63313	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O45:NM str. G4	991918	PRJNA63319	63319	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli O145:NM str. 8235	991920	PRJNA63321	63321	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA - Agricultural Research Service, USA
Escherichia coli VDP	1000560	PRJNA64595	64595	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Universite Libre de Bruxelles
Escherichia coli PCN009	1001988	PRJNA64997	64997	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Huazhong Agricultural University
Escherichia coli PCN042	1001990	PRJNA65001	65001	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Huazhong Agricultural University
Escherichia coli PCN079	1001991	PRJNA65003	65003	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Huazhong Agricultural University
Escherichia coli PCN097	1001992	PRJNA65005	65005	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Huazhong Agricultural University
Escherichia coli M15	1007065	PRJNA65669	65669	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Guangxi Academy of Sciences
Escherichia coli 0.1197	1005443	PRJNA65699	65699	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 1.0080	1005444	PRJNA65701	65701	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 2.3941	1005445	PRJNA65703	65703	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 2.0731	1005446	PRJNA65705	65705	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 2.4174	1005447	PRJNA65707	65707	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 2.0966	1005448	PRJNA65709	65709	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 3.4871	1005449	PRJNA65711	65711	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 3.0190	1005451	PRJNA65715	65715	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 5.2219	1005453	PRJNA65719	65719	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 5.2246	1005454	PRJNA65721	65721	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 7.3192	1005456	PRJNA65725	65725	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 7.1575	1005457	PRJNA65727	65727	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 7.1485	1005458	PRJNA65729	65729	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 7.1495	1005459	PRJNA65731	65731	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 9.1796	1005465	PRJNA65743	65743	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 10.0562	1005468	PRJNA65749	65749	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institute for Genome Sciences
Escherichia coli 2254-75 (11a)	1010814	PRJNA66215	66215	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli A9619-c2 (11c)	1010815	PRJNA66217	66217	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 3350-73 (13a)	1010816	PRJNA66219	66219	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli C691-71 (14b)	1010817	PRJNA66221	66221	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 92.0144 (F03)	1010818	PRJNA66223	66223	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli H16	1010819	PRJNA66225	66225	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	JCVI
Escherichia coli SEQ895	1010820	PRJNA66227	66227	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 5.3169	1010821	PRJNA66229	66229	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 8.2256	1010822	PRJNA66231	66231	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 85.1284	1010823	PRJNA66233	66233	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 85.0143	1010824	PRJNA66235	66235	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 6.168	1010825	PRJNA66237	66237	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O5 str. U1-41	1010804	PRJNA66239	66239	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O6 str. Bi7458-41	1010805	PRJNA66241	66241	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O8 str. G3404-41	1010806	PRJNA66243	66243	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O9 str. Bi316-42	1010807	PRJNA66245	66245	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O10 str. Bi8337-41	1010808	PRJNA66247	66247	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O16 str. F11119-41	1010809	PRJNA66249	66249	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O17 str. K12a	1010810	PRJNA66251	66251	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O20 str. P7a	1010811	PRJNA66253	66253	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	JCVI
Escherichia coli O33 str. E40	1010812	PRJNA66255	66255	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli O34 str. H304	1010813	PRJNA66257	66257	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli C54-58 (1b)	1017021	PRJNA66431	66431	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli 93-111	1017022	PRJNA66433	66433	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI
Escherichia coli TW11039	1005518	PRJNA66435	66435	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	JCVI
Escherichia coli TW09109	1005520	PRJNA66437	66437	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	JCVI
